,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Honiara,88,SB,1551150362,79,-9.43,159.96,82.04,3.6
375,Isiro,0,CD,1551150363,90,2.77,27.62,68.27,2.37
376,Ketchikan,1,US,1551146160,27,55.34,-131.65,39.2,5.82
377,Roald,76,NO,1551150305,87,62.58,6.12,45.0,6.93
378,Yumen,0,CN,1551150368,50,40.29,97.04,24.84,3.15
379,Sundargarh,68,IN,1551150369,86,22.12,84.04,65.97,4.61
380,Agadir,0,MA,1551148200,53,30.42,-9.58,50.0,6.93
381,Noumea,90,NC,1551148200,94,-22.28,166.46,73.4,20.8
382,Parral,0,CL,1551149471,42,-36.14,-71.82,62.6,8.05
383,Nabire,68,ID,1551150374,86,-3.36,135.5,77.0,2.48
384,Porto Belo,75,BR,1551150308,94,-27.15,-48.54,73.99,5.82
385,Xam Nua,36,LA,1551150377,87,20.42,104.04,65.79,2.04
386,Japura,92,ID,1551150378,90,-0.42,102.29,79.07,1.14
387,Watsa,0,CD,1551150380,85,3.04,29.53,63.99,3.15
388,Mahebourg,75,MU,1551150242,83,-20.41,57.7,80.6,6.93
389,Sebinkarahisar,48,TR,1551150382,76,40.29,38.42,13.95,1.7
390,Payo,24,ID,1551150384,90,-3.75,103.64,82.85,4.16
391,Traunstein,20,DE,1551150380,73,47.87,12.64,39.0,9.17
392,Orlik,44,RU,1551150386,67,52.51,99.83,7.2,2.04
393,Mackay,5,CA,1551146400,45,53.65,-115.58,5.0,3.36
394,Champerico,5,MX,1551149220,73,16.38,-93.6,73.4,11.41
395,Port Lincoln,0,AU,1551150390,65,-34.72,135.86,78.39,12.66
396,Kanigoro,32,ID,1551150392,97,-8.13,112.22,83.79,5.28
397,Tiznit,0,MA,1551150393,61,29.7,-9.73,54.0,3.27
398,La Asuncion,92,EC,1551150394,99,-1.64,-78.74,47.84,2.48
399,Carutapera,92,BR,1551150396,100,-1.2,-46.02,73.53,5.17
400,Saint-Augustin,0,FR,1551150369,93,44.83,-0.61,44.01,2.24
401,Aykhal,44,RU,1551150399,68,65.95,111.51,8.1,9.19
402,Cairns,32,AU,1551149005,62,-16.92,145.77,86.0,20.8
403,Harnosand,0,SE,1551150319,60,62.63,17.94,45.0,17.22
404,Virginia Beach,1,US,1551150374,44,36.85,-75.98,48.2,5.82
405,Ayan,20,TR,1551150404,66,40.67,33.6,14.76,2.15
406,Tirumullaivasal,44,IN,1551150405,100,11.24,79.84,77.13,5.61
407,Grozesti,0,RO,1551150124,79,44.65,23.32,28.0,6.93
408,Vasai,0,IN,1551150408,87,22.43,69.93,65.79,7.74
409,Prince Rupert,1,CA,1551146400,31,54.32,-130.32,33.8,9.17
410,Dafeng,12,CN,1551150411,73,33.2,120.46,50.72,14.0
411,Pakxan,88,LA,1551150412,91,18.39,103.66,71.55,2.04
412,Mtwara,76,TZ,1551150413,100,-10.28,40.18,78.89,4.38
413,Labuhan,48,ID,1551150414,81,-2.54,115.51,81.99,3.38
414,Aksarka,88,RU,1551150416,100,66.56,67.8,11.07,26.42
415,Pinos,40,MX,1551145620,45,22.3,-101.57,64.4,5.82
416,Yomou,0,GN,1551150419,73,7.57,-9.26,72.59,6.17
417,Changji,92,CN,1551150420,87,32.07,116.17,46.53,8.41
418,Raudeberg,80,NO,1551150305,93,61.99,5.14,46.99,11.41
419,Kulhudhuffushi,0,MV,1551150423,100,6.62,73.07,81.27,8.41
420,Viedma,0,AR,1551150350,46,-40.81,-62.99,56.25,16.24
421,Volchikha,44,RU,1551150425,78,52.02,80.36,14.0,6.51
422,Lagoa,0,PT,1551150406,71,37.14,-8.45,57.2,18.34
423,Harper,90,US,1551150316,71,30.3,-99.24,59.0,6.93
424,Havre-Saint-Pierre,90,CA,1551149100,78,50.23,-63.6,15.8,12.75
425,Bronnoysund,20,NO,1551150302,93,65.46,12.2,41.0,6.93
426,Lugovoy,80,RU,1551150435,84,59.72,65.88,21.69,8.52
427,Chapleau,20,CA,1551146400,70,47.85,-83.4,-2.21,4.7
428,Nova Aurora,56,BR,1551150437,95,-18.06,-48.26,66.33,0.92
429,Laguna,75,MX,1551145500,51,27.52,-110.01,62.6,5.82
430,Ati,92,TD,1551150440,24,13.21,18.34,76.41,5.95
431,Sola,48,NO,1551150303,93,58.89,5.65,46.0,3.36
432,Itarema,88,BR,1551150443,94,-2.92,-39.92,77.09,6.4
433,Benidorm,0,ES,1551150440,70,38.54,-0.13,50.0,8.05
434,Qasigiannguit,56,GL,1551145800,85,68.82,-51.19,10.4,5.82
435,Puerto Maldonado,32,PE,1551150447,96,-12.59,-69.19,73.44,3.15
436,Derby,0,GB,1551150427,80,52.92,-1.48,44.6,5.84
437,Antofagasta,20,CL,1551146400,82,-23.65,-70.4,68.0,5.82
438,Los Llanos de Aridane,0,ES,1551150007,100,28.66,-17.92,62.6,2.24
439,Lamu,12,ID,1551150452,85,0.57,122.3,82.22,2.37
440,Surskoye,92,RU,1551150453,94,54.48,46.71,26.28,3.71
441,Drovyanaya,0,RU,1551148200,67,51.58,113.05,19.4,3.71
442,Naron,0,ES,1551150240,87,43.52,-8.15,55.99,5.82
443,Artyom,40,RU,1551148200,27,43.36,132.19,35.6,11.18
444,Gawler,0,AU,1551150344,33,-34.6,138.75,97.0,12.75
445,Waterloo,90,CA,1551150353,66,43.47,-80.52,19.99,17.22
446,Komsomolskiy,32,RU,1551150462,71,67.55,63.78,0.32,21.16
447,Klyuchi,48,RU,1551150464,59,52.25,79.17,10.62,6.17
448,Nioki,56,CD,1551150465,99,-2.72,17.69,71.28,4.16
449,Rognan,75,NO,1551150290,86,67.1,15.4,39.2,9.17
450,Alenquer,90,BR,1551150000,100,-1.95,-54.74,73.4,2.24
451,Naifaru,68,MV,1551150469,100,5.44,73.37,81.77,9.53
452,Male,92,UA,1551150470,92,50.74,33.7,32.4,13.0
453,Mabaruma,0,GY,1551150472,85,8.2,-59.78,76.23,6.4
454,Dicabisagan,80,PH,1551150473,93,17.08,122.42,76.77,8.41
455,Bonthe,0,SL,1551150474,96,7.53,-12.5,77.09,5.17
456,Nuuk,32,GL,1551145800,92,64.17,-51.74,19.4,12.75
457,Hay River,75,CA,1551146400,84,60.82,-115.79,6.8,3.15
458,Tazovskiy,80,RU,1551150393,85,67.47,78.7,16.07,25.86
459,Hackettstown,5,US,1551150433,50,40.85,-74.83,32.0,10.29
460,Killeen,1,US,1551150197,71,31.12,-97.73,57.99,4.7
461,Orapa,0,BW,1551150483,68,-21.28,25.37,71.64,12.1
462,Maltahohe,68,NA,1551150484,29,-24.83,16.98,69.35,8.41
463,Haines Junction,0,CA,1551150486,79,60.75,-137.51,1.62,1.92
464,Srednyaya Yelyuzan,92,RU,1551149290,85,53.02,45.95,32.0,4.94
465,Karatuzskoye,68,RU,1551150488,74,53.61,92.87,19.08,3.15
466,Deniliquin,48,AU,1551150490,36,-35.53,144.96,88.2,4.61
467,Seymchan,56,RU,1551150491,71,62.93,152.39,-7.11,10.65
468,Suhbaatar,0,MN,1551150492,47,50.23,106.21,31.64,3.71
469,Kendari,48,ID,1551150493,86,-3.99,122.52,84.96,3.6
470,Padang,44,ID,1551150495,100,-0.92,100.36,83.88,2.26
471,Clinceni,0,RO,1551150417,73,44.38,25.94,28.0,5.82
472,Kloulklubed,75,PW,1551149400,70,7.04,134.26,84.2,11.41
473,Pochutla,5,MX,1551150035,69,15.74,-96.47,80.6,10.2
474,Namwala,0,ZM,1551150500,72,-15.75,26.45,67.32,7.4
475,Znamenskoye,88,RU,1551150502,84,57.13,73.82,14.09,9.19
476,Port Blair,0,IN,1551150503,100,11.67,92.75,82.4,9.98
477,Polunochnoye,64,RU,1551150504,74,60.87,60.43,13.23,6.51
478,Arlit,8,NE,1551150506,56,18.74,7.39,58.05,2.71
479,Lodja,12,CD,1551150507,89,-3.52,23.6,71.42,2.59
480,Buala,92,SB,1551150508,83,-8.15,159.59,83.97,7.74
481,Ambon,0,FR,1551150426,80,47.55,-2.56,46.0,8.05
482,Guantanamo,68,BO,1551150511,82,-16.14,-62.05,76.05,5.95
483,Vanimo,64,PG,1551150512,100,-2.67,141.3,81.95,4.94
484,Mao,20,DO,1551150314,78,19.55,-71.08,75.99,9.17
485,Arawa,100,NG,1551150515,98,7.05,3.9,75.29,3.04
486,Necochea,12,AR,1551150408,85,-38.55,-58.74,50.0,3.0
487,Kharp,88,RU,1551150518,79,66.82,65.8,17.91,9.53
488,Beyneu,24,KZ,1551150519,82,45.32,55.19,14.72,6.17
489,Tomatlan,0,MX,1551150520,94,19.93,-105.25,70.52,2.82
490,Cherskiy,8,RU,1551150522,75,68.75,161.3,-17.55,3.27
491,Luau,76,CD,1551150523,91,-10.7,22.23,67.64,1.92
492,Guymon,90,US,1551148500,85,36.68,-101.48,23.0,19.46
493,Inongo,8,CD,1551150526,97,-1.93,18.29,74.12,5.61
494,Xichang,32,CN,1551150527,28,27.88,102.25,56.52,2.59
495,Pizarro,32,CO,1551150528,91,4.95,-77.37,78.03,3.38
496,Qaqortoq,76,GL,1551145800,34,60.72,-46.03,35.6,14.99
497,Sunrise Manor,75,US,1551150352,32,36.21,-115.07,55.4,5.82
498,Trinidad,0,UY,1551150532,79,-33.52,-56.9,49.32,2.93
499,Abu Zabad,24,SD,1551150533,54,12.35,29.25,67.77,2.48
500,Shenzhen,40,CN,1551150524,77,22.54,114.05,70.0,20.8
501,Vila Franca do Campo,20,PT,1551150493,71,37.72,-25.43,55.0,25.28
502,Shiloh,1,US,1551150209,69,38.56,-89.9,37.0,8.75
503,Khani,90,GE,1551148200,93,41.96,42.96,41.0,4.7
504,Kuhdasht,0,IR,1551145860,78,33.53,47.61,32.0,4.7
505,Markova,0,RU,1551149952,92,52.21,104.21,28.0,2.24
506,Inskoy,68,RU,1551150543,84,54.43,86.44,16.7,7.63
507,Muros,0,ES,1551150537,71,42.77,-9.06,55.99,3.36
508,Uray,64,RU,1551150546,84,60.13,64.8,19.17,8.08
509,Vao,80,EE,1551150547,94,59.1,26.19,32.72,10.42
510,Sale,0,GB,1551150544,56,53.42,-2.32,48.2,1.12
511,Pervomayskiy,88,RU,1551150550,95,53.24,40.29,31.32,9.64
512,Saint-Joseph,0,FR,1551150106,75,43.56,6.97,51.8,5.82
513,Yegorlykskaya,88,RU,1551150553,92,46.56,40.65,30.47,16.24
514,Harrison,90,US,1551150524,54,39.26,-84.82,33.01,3.15
515,Nishihara,75,JP,1551150530,66,35.74,139.53,55.0,11.41
516,Loudi,92,CN,1551150557,100,27.73,112.0,47.61,4.27
517,Dunedin,24,NZ,1551149923,56,-45.87,170.5,69.01,8.99
518,Karacabey,75,TR,1551150557,86,40.21,28.36,44.01,20.8
519,Mangrol,64,IN,1551150561,50,25.33,76.51,61.11,1.03
520,Poum,0,MK,1551150563,80,41.28,20.71,7.7,1.7
